562bbd61e12565a005c7104a,The most abundant greenhouse gas in the earth's atmosphere:,1. carbon dioxide 2. nitrous oxide 3. water vapor 4. methane 5. chlorofluorocarbons (CFCs) ,3. water vapor,
562c336041da0f0b00c11829,Which of the following is the poorest conductor of heat?,1. still air 2. water 3. ice 4. snow 5. soil ,1. still air,
562c338b41da0f0b00c1182f,The processes of condensation and freezing:,1. both release sensible heat into the environment 2. both absorb sensible heat from the environment 3. do not affect the temperature of their surroundings 4. do not involve energy transport ,1. both release sensible heat into the environment,
562c348241da0f0b00c11844,Energy transferred by electromagnetic waves is called:,1. magnetism 2. convection 3. conduction 4. radiation ,4. radiation,
562c34a941da0f0b00c11849,One micrometer is a unit of length equal to:,1. one million meters 2. one millionth of a meter 3. one tenth of a millimeter 4. one thousandth of a meter ,2. one millionth of a meter,
562c34e541da0f0b00c1184e,Which of the following represents the smallest unit of length?,1. mile 2. centimeter 3. meter 4. micrometer 5. inch ,4. micrometer,
562c351a41da0f0b00c11854,The proper order from shortest to longest wavelength is:,"1. visible, infrared, ultraviolet 2. infrared, visible, ultraviolet 3. ultraviolet, visible, infrared 4. visible, ultraviolet, infrared 5. ultraviolet, infrared, visible ","3. ultraviolet, visible, infrared",
562c354541da0f0b00c1185a,How much radiant energy will an object emit if its temperature is at absolute zero?,1. the maximum theoretical amount 2. none 3. the same as it would at any other temperature 4. depends on the chemical composition of the object ,2. none,
562c359141da0f0b00c1185f,If the absolute temperature of an object doubles the maximum energy emitted goes up by a factor of:,1. 2 2. 4 3. 8 4. 16 5. 32 ,4. 16,
562c35cb41da0f0b00c11865,The rate at which radiant energy is emitted by a body:,1. increases with increasing temperature 2. increases with decreasing temperature 3. does not depend on the temperature 4. depends on the chemical composition of the body ,1. increases with increasing temperature,
562c35ff41da0f0b00c1186a,Which of the following determine the kind (wavelength) and amount of radiation that  an object emits?,1. temperature 2. thermal conductivity 3. density 4. latent heat ,1. temperature,
562c366341da0f0b00c11870,At which temperature would the earth be radiating energy at the greatest rate or intensity?,1. -5°F 2. -40°F 3. 60°F 4. 32°F 5. 105°F ,5. 105°F,
562c372c41da0f0b00c1187b,The earth emits radiation with greatest intensity at:,1. infrared wavelengths 2. radio wavelengths 3. visible wavelengths 4. ultraviolet wavelengths ,1. infrared wavelengths,
562c375d41da0f0b00c11880,Solar radiation reaches the earth's surface as:,"1. visible radiation only 2. ultraviolet radiation only 3. infrared radiation only 4. visible and infrared radiation only 5. ultraviolet, visible, and infrared radiation ","5. ultraviolet, visible, and infrared radiation",
562c378a41da0f0b00c11886,Electromagnetic radiation with wavelengths between 0.4 and 0.7 micrometers is called:,1. ultraviolet light 2. visible light 3. infrared light 4. microwaves ,2. visible light,
562c37b141da0f0b00c1188b,Which of the following has a wavelength shorter than that of violet light?,1. green light 2. blue light 3. infrared radiation 4. red light 5. ultraviolet radiation ,5. ultraviolet radiation,
562c37f041da0f0b00c11891,The sun emits its greatest intensity of radiation in:,1. the visible portion of the spectrum 2. the infrared portion of the spectrum 3. the ultraviolet portion of the spectrum 4. the x-ray portion of the spectrum ,1. the visible portion of the spectrum,
562c390241da0f0b00c1189d,Which principle best describes why holes develop in snow around tree trunks?,1. snow is a good absorber of infrared energy 2. snow is a good emitter of infrared energy 3. snow is a poor reflector of visible light 4. now is a poor absorber of visible light 5. snow is a poor absorber of ultraviolet light ,1. snow is a good absorber of infrared energy,
562c395441da0f0b00c118a3,If the sun suddenly began emitting more energy the earth's radiative equilibrium temperature would:,1. increase 2. decrease 3. remain the same 4. begin to oscillate ,1. increase,
562c39b941da0f0b00c118a8,Which greenhouse gas absorbs the most radiation at wavelengths greater than 15 mum?,1. Carbon Dioxide 2. Methane 3. Ozone 4. Nitrous Oxide 5. Water Vapor ,1. Carbon Dioxide,
562c3a0741da0f0b00c118ae,At which of these wavelengths is radiation most likely to pass through the atmosphere without being absorbed?,1. 6 μm 2. 18 μm 3. 11 μm 4. 15 μm ,3. 11 μm,
562c3a6f41da0f0b00c118b9,Which of the following is known primarily as a selective absorber of ultraviolet radiation?,1. carbon dioxide 2. ozone 3. water vapor 4. clouds ,2. ozone,
562c3ab541da0f0b00c118be,The atmospheric greenhouse effect is produced mainly by the:,1. absorption and re-emission of visible light by the atmosphere 2. absorption and re-emission of ultraviolet radiation by the atmosphere 3. absorption and re-emission of infrared radiation by the atmosphere 4. absorption and re-emission of visible light by clouds 5. absorption and re-emission of visible light by the ground ,3. absorption and re-emission of infrared radiation by the atmosphere,
562c3aea41da0f0b00c118c4,The earth's atmospheric window is in the:,1. ultraviolet region 2. visible region 3. infrared region 4. polar regions ,3. infrared region,
562c3b6a41da0f0b00c118cf,Which of the following statements is not correct?,"1. calm, cloudy nights are usually warmer than calm, clear nights 2. each year the earth's surface radiates away more energy than it receives from the sun 3. the horizontal transport of heat by the wind is called advection 4. good absorbers of radiation are usually poor emitters of radiation ",4. good absorbers of radiation are usually poor emitters of radiation,
562c3b9941da0f0b00c118d4,Without the atmospheric greenhouse effect the average surface temperature would be:,1. higher than at present 2. lower than at present 3. the same as it is now 4. much more variable than it is now ,2. lower than at present,
562c3bda41da0f0b00c118d9,Suppose last night was clear and calm.  Tonight low clouds will be present.  From  this you would conclude that tonight's minimum temperature will be:,1. higher than last night's minimum temperature 2. lower than last night's minimum temperature 3. the same as last night's minimum temperature 4. above freezing ,1. higher than last night's minimicron temperature,
562c3c7141da0f0b00c118e4,At night low clouds:,1. enhance the atmospheric greenhouse effect 2. weaken the atmospheric greenhouse effect 3. are often caused by the atmospheric greenhouse effect 4. have no effect on the atmospheric greenhouse effect ,1. enhance the atmospheric greenhouse effect,
562c3caa41da0f0b00c118e9,A greenhouse gas used as a refrigerant a solvent and during the manufacture of foam:,1. water vapor 2. carbon dioxide 3. methane 4. polyvinylchloride (PVC) 5. chlorofluorocarbons (CFCs) ,5. chlorofluorocarbons (CFCs),
562c3d0d41da0f0b00c118ef,Of the gases listed below which is not believed to be responsible for enhancing the  earth's greenhouse effect?,1. chlorofluorocarbons (CFCs) 2. molecular oxygen (O2) 3. nitrous oxide (N2O) 4. carbon dioxide (CO2) 5. methane (CH4) ,2. molecular oxygen (O2),
562c3d4641da0f0b00c118f5,Which of the following gases are mainly responsible for the atmospheric greenhouse effect in the earth's atmosphere?,1. oxygen and nitrogen 2. nitrogen and carbon dioxide 3. ozone and oxygen 4. water vapor and carbon dioxide ,4. water vapor and carbon dioxide,
562c3d7041da0f0b00c118fa,Which of the following is not a heat-transport process in the atmosphere?,1. conduction 2. radiation 3. convergence 4. convection ,3. convergence,
562c3da641da0f0b00c11900,The earth's radiation is often referred to as ____ radiation while the sun's  radiation is often referred to as ____ radiation.,"1. shortwave, longwave 2. shortwave, shortwave 3. longwave, shortwave 4. longwave, longwave ","3. longwave, shortwave",
562c3dd741da0f0b00c11905,The combined albedo of the earth and the atmosphere is approximately:,1. 0.04 2. 0.1 3. 0.3 4. 0.5 5. 0.9 ,3. 0.3,
562c3e0e41da0f0b00c1190b,Which of the following is an incorrect association?,1. albedo - percent of radiation reflected from a surface 2. kinetic energy - energy of motion 3. black body - selective absorber 4. long-wave radiation - earth radiation ,3. black body - selective absorber,
562c3e8041da0f0b00c11916,An increase in albedo would be accompanied by ____ in radiative equilibrium temperature.,1. an increase 2. a decrease 3. no change 4. unstable oscillations ,2. a decrease,
562c3ea541da0f0b00c1191b,Which of the following has the highest albedo?,1. snow 2. sand 3. water 4. grass ,1. snow,
562c3edd41da0f0b00c11920,The albedo of the earth's surface is only about 4% yet the combined albedo of the  earth and the atmosphere is about 30%.  Which set of conditions below best explains why this is so?,"1. high albedo of clouds, low albedo of water 2. high albedo of clouds, high albedo of water 3. low albedo of clouds, low albedo of water 4. low albedo of clouds, high albedo of water ","1. high albedo of clouds, low albedo of water",
562c3f0e41da0f0b00c11925,Sunlight that bounces off a surface is said to be ____ from the surface.,1. radiated 2. absorbed 3. emitted 4. reflected ,4. reflected,
562c3f5441da0f0b00c1192b,The combined albedo of the earth and its atmosphere averages about 30%.  This value could effectively be altered by:,1. increasing the amount of cloud cover around the earth 2. increasing the amount of snow and ice covering the earth's surface 3. increasing the amount of particulates in the atmosphere that reflect sunlight 4. all of the above are correct ,4. all of the above are correct,
562c400041da0f0b00c1193b,The earth's radiative equilibrium temperature is:,1. the temperature at which the earth is absorbing solar radiation and emitting infrared radiation at equal rates 2. the temperature at which the earth is radiating energy at maximum intensity 3. the average temperature the earth must maintain to prevent the oceans from freezing solid 4. the temperature at which rates of evaporation and condensation on the earth are in balance ,1. the temperature at which the earth is absorbing solar radiation and emitting infrared radiation at equal rates,
562c407041da0f0b00c11945,Heat transferred outward from the surface of the moon can take place by:,1. convection 2. conduction 3. latent heat 4. radiation ,4. radiation,
562c40bb41da0f0b00c1194a,The primary source of energy for the earth's atmosphere is:,1. energy from within the earth 2. the sun 3. erupting volcanoes 4. lightning discharges associated with thunderstorms 5. latent heat released during the formation of hurricanes ,2. the sun,
562c411e41da0f0b00c11950,Suppose you are outside in very cold temperatures wearing a winter coat that is quite effective at keeping you warm. Which of the following is true?,"1. The coat is the source of the heat that keeps you warm. 2. Your body generates the heat that keeps you warm. 3. The coat prevents your body's heat from escaping to the surrounding air. 4. both the coat is the source of the heat that keeps you warm, and the coat prevents your body's heat from escaping to the surrounding air are true. 5. both your body generates the heat that keeps you warm, and the coat prevents your body's heat from escaping to the surrounding air are true. ","5. both your body generates the heat that keeps you warm, and the coat prevents your body's heat from escaping to the surrounding air are true.",
562c414f41da0f0b00c11956,If the amount of energy lost by the earth to space each year were not approximately equal to that received:,1. the atmosphere's average temperature would change 2. the length of the year would change 3. the sun's output would change 4. the mass of the atmosphere would change ,1. the atmosphere's average temperature would change,
562c418241da0f0b00c1195b,The major process that warms the lower atmosphere is:,1. the release of latent heat during condensation 2. conduction of heat upward from the surface 3. absorption of infrared radiation 4. direct absorption of sunlight by the atmosphere ,3. absorption of infrared radiation,
562c41c841da0f0b00c11960,The atmosphere near the earth's surface is heated from below.  Which of the following in not responsible for the heating?,1. conduction of heat upward from a hot surface 2. convection from a hot surface 3. absorption of infrared energy that has been radiated from the surface 4. heat energy from the earth's interior ,4. heat energy from the earth's interior,
562c41f741da0f0b00c11965,On the average as a cloud grows thicker (taller) which below does not occur?,1. more sunlight is reflected from the cloud 2. less sunlight is transmitted through the cloud 3. less sunlight is absorbed by the cloud 4. more light is scattered by the cloud ,3. less sunlight is absorbed by the cloud,
562c424b41da0f0b00c1196a,Although the polar regions radiate away more heat energy than they receive by insolation in the course of a year they are prevented from becoming progressively  colder each year by the:,1. conduction of heat through the interior of the earth 2. concentration of earth's magnetic field lines at the poles 3. circulation of heat by the atmosphere and oceans 4. the insulating properties of snow 5. release of latent heat to the atmosphere when polar ice melts ,3. circulation of heat by the atmosphere and oceans,
562c429f41da0f0b00c11970,The latitude at which there is a yearly balance between incoming and outgoing radiation is about:,1. 0° 2. 23.5° 3. 37° 4. 66.5° 5. 90° ,3. 37°,
562c42f141da0f0b00c11976,If the elevation of the light source is 30 degrees  the amount of energy received per unit area at the surface ________ from when the light is directly overhead.,1. decreases by 50% 2. increases by 50% 3. decreases by 70% 4. increases by 70% 5. None of the above ,1. decreases by 50%,
562c432a41da0f0b00c1197c,At noon on June 22 the sun will be directly overhead at:,1. the Arctic circle 2. the Equator 3. the Tropic of Cancer 4. the North Pole 5. the Tropic of Capricorn ,3. the Tropic of Cancer,
562c435941da0f0b00c11982,Suppose you drive to and from work on a street that runs east to west.  On what day would you most likely have the sun shining directly in your eyes while driving to and  from work?,1. summer solstice 2. winter solstice 3. autumnal equinox 4. during the summer months ,3. autumnal equinox,
562c43c241da0f0b00c11988,The earth is tilted at an angle of 23.5 degrees  with respect to the plane of its orbit  around the sun.  If the amount of tilt were increased to 40 degrees  we would expect in middle latitudes:,1. hotter summers and colder winters than at present 2. cooler summers and milder winters than at present 3. hotter summers and milder winters than at present 4. cooler summers and colder winters than at present 5. no appreciable change from present conditions ,1. hotter summers and colder winters than at present,
562c440641da0f0b00c1198f,At the North Pole the sun will rise above the horizon on ____ and set below the  horizon on ____.,"1. June 22, September 23 2. September 23, December 22 3. March 21, September 23 4. June 22, December 22 5. March 21, December 22 ","3. March 21, September 23",
562c445541da0f0b00c11995,At the top of the earth's atmosphere during the early summer at what latitude would  you expect to receive the most solar radiation during a 24 hour period?,1. 0°N 2. 23.5°N 3. 37°N 4. 66.5°N 5. 80°N ,5. 80°N,
562c44aa41da0f0b00c1199b,Incoming solar radiation in middle latitudes is less in winter than in summer because:,1. the sun's rays slant more and spread their energy over a larger area. 2. the sun's rays are weakened by passing through a greater thickness of atmosphere 3. the cold dense air lowers the intensity of the sun's rays 4. all of the above 5. both answers 1 and 2 are correct ,5. both answers 1 and 2 are correct,
562c44f841da0f0b00c119a1,Our seasons are caused by:,"1. the changing distance between the earth and the sun 2. the angle at which sunlight reaches the earth 3. the length of the daylight hours 4. all of the above 5. only the angle at which sunlight reaches the earth, and the length of the daylight hours are correct ","5. only the angle at which sunlight reaches the earth, and the length of the daylight hours are correct",
562c451e41da0f0b00c119a7,At middle latitudes in the Northern Hemisphere we can expect the day with the shortest number of daylight hours to occur around:,1. June 21 2. December 21 3. January 1 4. February 15 ,2. December 21,
562c455f41da0f0b00c119ad,The main reason(s) for warm summers in middle latitudes is that:,"1. the earth is closer to the sun in summer 2. the sun is higher in the sky and we receive more direct solar radiation 3. the days are longer 4. all of the above 5. only the sun is higher in the sky and we receive more direct solar radiation, and the days are longer are correct ","5. only the sun is higher in the sky and we receive more direct solar radiation, and the days are longer are correct",
562c458b41da0f0b00c119b4,At middle latitudes in the Northern Hemisphere we can expect the day with the  longest number of daylight hours to occur around:,1. June 21 2. December 21 3. September 21 4. July 4 5. August 1 ,1. June 21,
562c45b541da0f0b00c119ba,For maximum winter warmth in the Northern Hemisphere large windows in a house should face:,1. north 2. south 3. east 4. west ,2. south,
562c45ef41da0f0b00c119bf,The sun will pass directly overhead at noon in Miami Florida (latitude 26 degrees N):,1. once a year 2. twice a year 3. four times a year 4. never ,4. never,
562c463141da0f0b00c119c4,The most important reason why summers in the Southern Hemisphere are not warmer than  summers in the Northern Hemisphere is that:,1. the earth is closer to the sun in January 2. the earth is farther from the sun in July 3. over 80% of the Southern Hemisphere is covered with water 4. the sun's energy is less intense in the Southern Hemisphere ,3. over 80% of the Southern Hemisphere is covered with water,
562c465f41da0f0b00c119c9,When it is January and winter in the Northern Hemisphere it is ____ and ____ in the  Southern Hemisphere.,1. January and summer 2. January and winter 3. July and winter 4. July and summer ,1. January and summer,
562c468a41da0f0b00c119ce,The astronomical beginning of spring occurs around this date in the Northern Hemisphere:,1. March 1 2. April 1 3. March 21 4. April 15 ,3. March 21,
562c46b241da0f0b00c119d3,Solar panels on a solar home built in the Southern Hemisphere should face:,1. north 2. south 3. east 4. west ,1. north,
562c46e341da0f0b00c119d8,On which date would the sun's rays be closest to being perpendicular to the earth's  surface in the middle latitudes of the Northern Hemisphere?,1. March 21 2. June 21 3. July 1 4. August 15 ,2. June 21,
562c472041da0f0b00c119dd,On what day would you expect the sun to be overhead at Lima Peru (latitude 12 degrees S)?,1. August 15 2. December 21 3. February 4 4. Marh 10 5. Apri 21 ,3. February 4,
562c476341da0f0b00c119e3,The north-facing side of a hill in a mountainous region in the US tends to:,1. receive less sunlight during a year than the south-facing side 2. grow a variety of trees that are typically observed at higher elevation 3. be a better location for a ski run than the south-facing side 4. have snow on the ground for a longer period of time in winter compared to the south-facing side 5. all of the above ,5. all of the above,
562c47aa41da0f0b00c119e9,The sun is directly overhead at Mexico City (latitude 19 degrees N):,1. once a year 2. twice a year 3. four times a year 4. never ,2. twice a year,
562c47d841da0f0b00c119ef,Between Christmas and New Year's at middle latitudes in the Northern Hemisphere the length of the day:,1. increases 2. decreases 3. does not change 4. is 12 hours long ,1. increases,
562c481741da0f0b00c119f4,Which of the following helps to explain why even though northern latitudes experience 24 hours of sunlight on June 22 they are not warmer than latitudes further south?,1. solar energy is spread over a larger area in northern latitudes 2. some of the sun's energy is reflected by snow and ice in the northern latitudes 3. increased cloud cover reflects solar energy in the northern latitudes 4. solar energy is used to melt frozen soil in the northern latitudes 5. all of the above ,5. all of the above,
562c484841da0f0b00c119fa,Where are the days and nights of equal length all year long?,1. at 66.5° 2. nowhere 3. at 23.5° 4. at the Equator ,4. at the Equator,
562c488441da0f0b00c119ff,In the middle latitudes of the Northern Hemisphere on June 22 the sun:,1. rises in the east and sets in the west 2. rises in the southeast and sets in the southwest 3. rises in the northeast and sets in the northwest 4. rises in the northeast and sets in the southwest 5. rises in the southeast and sets in the northwest ,3. rises in the northeast and sets in the northwest,
562c48a741da0f0b00c11a05,Which of the following is correct at the time of the summer solstice in June?,1. it marks the beginning of astronomical summer in the Northern Hemisphere 2. it occurs around June 22 3. the noon sun is overhead at the Tropic of Cancer 4. all of the above ,4. all of the above,
562c492341da0f0b00c11a10,During the winter solstice in the Northern Hemisphere:,"1. astronomical winter begins in the Northern Hemisphere 2. the noon sun is overhead at 23.5°S latitude 3. at middle latitudes in the Northern Hemisphere, this marks the longest night of the year 4. all of the above ",4. all of the above,
562c495441da0f0b00c11a15,The aurora are seen:,1. in the Northern Hemisphere only 2. in the Southern Hemisphere only 3. in both the Northern and Southern Hemispheres at high latitudes 4. in both the Northern and Southern Hemispheres near the equator ,3. in both the Northern and Southern Hemispheres at high latitudes,
562c499541da0f0b00c11a1a,Sunspots:,1. appear darker than the rest of the sun's surface 2. are cooler regions on the sun's surface 3. are located in regions of strong magnetic fields 4. reach a maximum on the sun approximately every 11 years 5. all of the above ,5. all of the above,
562c49c041da0f0b00c11a20,The luminous surface of the sun is known as the:,1. chromosphere 2. thermosphere 3. corona 4. photosphere 5. exosphere ,4. photosphere,
562ce70d41da0f0b00c11a3c,On a clear night the best place to see the aurora would be:,1. at the magnetic north pole 2. northern Maine 3. northern Washington 4. Colorado 5. Alaska ,5. Alaska,
562ce76741da0f0b00c11a42,The aurora is produced by:,1. reflections of sunlight by polar ice fields 2. fast-moving charged particles colliding with air molecules 3. burning oxygen caused by the intense sunlight at high altitude 4. the combination of molecular and atomic oxygen to form ozone 5. scattering of sunlight in the upper atmosphere ,2. fast-moving charged particles colliding with air molecules,
562ce7d941da0f0b00c11a4d,Charged particles from the sun that travel through space at high speeds are called:,1. radiation 2. the aurora 3. solar wind 4. solar flares ,3. solar wind,
562ce82141da0f0b00c11a52,The solar wind is:,1. the strong wind in outer space 2. another name of electromagnetic radiation 3. another name for a solar flare 4. charged particles streaming through space from the sun ,4. charged particles streaming through space from the sun,
562ce86c41da0f0b00c11a57,In meteorology the word insolation refers to:,"1. a well-constructed, energy-efficient home 2. the solar constant 3. incoming solar radiation 4. an increase in solar output ",3. incoming solar radiation,
562ce8f241da0f0b00c11a61,In July at middle latitudes in the Northern Hemisphere the day is ____ long and is  ____ with each passing day.,"1. less than 12 hours, getting longer 2. less than 12 hours, getting shorter 3. more than 12 hours, getting longer 4. more than 12 hours, getting shorter ","4. more than 12 hours, getting shorter",
562ce9d141da0f0b00c11a6b,The greatest variation in daily temperature usually occurs:,1. at the ground 2. about 5 feet above the ground 3. at the top of a high-rise apartment complex 4. at the level where thermals stop rising ,1. at the ground,
562ceaf741da0f0b00c11a71,The instrument that measures temperature pressure and humidity at various altitudes in the atmosphere:,1. barograph 2. radiosonde 3. aneroid barometer 4. altimeter ,2. radiosonde,
562ceb3441da0f0b00c11a76,Which of the following processes acts to remove carbon dioxide from the atmosphere?,1. lightning 2. deforestation 3. photosythesis 4. burning fossil fuels ,3. photosythesis,
562ceb7241da0f0b00c11a7b,The greenhouse gas that has been increasing in concentration at least partly due to deforestation:,1. carbon dioxide 2. chlorofluorocarbons (CFCs) 3. water vapor 4. ozone ,1. carbon dioxide,
562ceeda41da0f0b00c11a81,Since the turn of this century  CO2 in the atmosphere has:,1. been increasing in concentration 2. been decreasing in concentration 3. remained at about the same concentration from year to year 4. disappeared entirely ,1. been increasing in concentration,
562cef1e41da0f0b00c11a86,A high water vapor pressure indicates:,1. a relatively large number of water vapor molecules in the air 2. a relatively small number of water vapor molecules in the air 3. a relatively high rate of evaporation 4. an abundant supply of condensation nuclei in the air ,1. a relatively large number of water vapor molecules in the air,
562cefa841da0f0b00c11a90,If the air temperature increased with no addition or removal of water vapor the actual vapor pressure would:,1. increase 2. decrease 3. stay the same 4. become greater than the saturation vapor pressure ,3. stay the same,
562cf00741da0f0b00c11a96,When the air temperature is below freezing the saturation vapor pressure over water  is ________.,1. equal to zero 2. less than the saturation vapor pressure over ice 3. greater than the saturation vapor pressure over ice 4. equal to the saturation vapor pressure over ice ,3. greater than the saturation vapor pressure over ice,
